Index,Red,Green,Blue,NIR,SWIR_1,SWIR_2
0,0.08774231,0.076838456,0.05400769,0.29941154,0.18294232,0.08774231
1,0.090165384,0.081980765,0.058853842,0.3039077,0.20383462,0.100530766
2,0.08456538,0.07261153,0.04431538,0.30921155,0.15208846,0.06991923
3,0.08876538,0.079126924,0.055299997,0.29868463,0.19185385,0.093665384
4,0.08879231,0.07950384,0.05548846,0.30568463,0.19877309,0.09608846
5,0.088630766,0.078373075,0.055649996,0.28107694,0.20668846,0.10050385
6,0.08698846,0.07371538,0.05085769,0.26473463,0.18843462,0.092238456
7,0.08343461,0.07037692,0.041865382,0.33115384,0.14018846,0.058880765
8,0.08628846,0.072799996,0.049403843,0.2895577,0.1656577,0.07597692
9,0.08965384,0.07920769,0.05815384,0.29373077,0.20205769,0.0987
10,0.08935769,0.08103846,0.05750769,0.31295386,0.20967692,0.099992305
11,0.08828077,0.08015,0.054653842,0.30482307,0.2051,0.09765
12,0.08712307,0.07866923,0.05244615,0.3137077,0.19731924,0.094661534
13,0.08795769,0.078911535,0.05438461,0.30234617,0.1904,0.08986923
14,0.083730765,0.071399994,0.041730765,0.35519615,0.15020384,0.06273077
15,0.08488846,0.070619226,0.046038456,0.2973654,0.1484,0.06792692
16,0.089492306,0.07834615,0.05831538,0.30431154,0.20337692,0.09557692
17,0.090703845,0.08249231,0.06046923,0.3224846,0.21893847,0.103034616
18,0.09024615,0.08216923,0.05871923,0.32585,0.2165423,0.10176923
19,0.08954615,0.08079615,0.056484614,0.32334617,0.20962308,0.09751538
20,0.08868461,0.079773076,0.05516538,0.31354615,0.19804616,0.09269615
21,0.08903461,0.08117308,0.056080766,0.3168846,0.1999577,0.0945
22,0.09008461,0.08222307,0.057965383,0.32259232,0.20596154,0.098
23,0.089519225,0.08214231,0.05718461,0.33605385,0.20232692,0.093773074
24,0.08391923,0.073661536,0.041219227,0.38704616,0.15811923,0.063861534
25,0.083192304,0.07059231,0.042269226,0.33058846,0.14675769,0.062353842
26,0.08658461,0.074119225,0.05061538,0.31187692,0.17831154,0.082088456
27,0.09008461,0.079234615,0.05871923,0.31198463,0.2076577,0.09816153
28,0.089949995,0.08225,0.059553843,0.32208076,0.21632692,0.10322308
29,0.09021923,0.08106538,0.059311535,0.3197654,0.22031154,0.10486538
30,0.08935769,0.07961153,0.057453845,0.3232654,0.21148077,0.09886154
31,0.089411534,0.081199996,0.05839615,0.32329232,0.20550385,0.09713846
32,0.09024615,0.08130769,0.05936538,0.32014233,0.2076577,0.09643846
33,0.09021923,0.08176538,0.059473075,0.31788078,0.20523462,0.096384615
34,0.08930384,0.08149615,0.057103842,0.34281155,0.20211154,0.09396154
35,0.08922307,0.08276153,0.056699995,0.36206156,0.20531538,0.093423076
36,0.08365,0.07374231,0.039899997,0.3973308,0.15925,0.06442692
37,0.08375769,0.07336538,0.041326918,0.37544233,0.14971922,0.061492305
38,0.083299994,0.070403844,0.041730765,0.31780002,0.13189615,0.05777692
39,0.086799994,0.073149994,0.049403843,0.27954233,0.1460577,0.06846538
40,0.08930384,0.07643461,0.05723846,0.29418847,0.18310384,0.08521154
41,0.091242306,0.08047307,0.061142303,0.3161577,0.21689232,0.10139231
42,0.090273075,0.081549995,0.059553843,0.32843462,0.2121,0.10061154
43,0.090273075,0.080769226,0.05882692,0.3088346,0.1955423,0.093315385
44,0.09301923,0.082734615,0.06299999,0.29855,0.19058846,0.09135
45,0.092453845,0.0826,0.06267692,0.29526538,0.19029231,0.0896
46,0.08919615,0.07928846,0.056699995,0.31271154,0.18660384,0.086449996
47,0.08968077,0.080984615,0.05815384,0.33311924,0.20725384,0.09501154
48,0.08970769,0.08297692,0.05815384,0.3516423,0.21215385,0.097246155
49,0.08935769,0.08303077,0.058638457,0.36179233,0.21043077,0.09619615
50,0.08496923,0.073580764,0.045634612,0.36149615,0.15997693,0.0686
51,0.083192304,0.07436153,0.039119225,0.4109808,0.15925,0.062865384
52,0.08297692,0.073015384,0.038769227,0.40371156,0.15558846,0.06181538
53,0.08278846,0.07245,0.039523073,0.3822,0.14950384,0.059715383
54,0.08424231,0.07204615,0.04237692,0.35113078,0.14438847,0.060603842
55,0.08682692,0.07306923,0.048999995,0.3094,0.14966539,0.068734616
56,0.08706923,0.074092306,0.05174615,0.29542693,0.16369231,0.078265384
57,0.08733846,0.07646154,0.051692303,0.3117423,0.16293846,0.075196154
58,0.08911538,0.07861538,0.054923072,0.3243154,0.16996539,0.07554615
59,0.0896,0.07942308,0.055515382,0.33952692,0.17790769,0.08058076
60,0.088630766,0.079234615,0.052311536,0.34547693,0.16991153,0.07562692
61,0.08833461,0.0782923,0.052580766,0.3294308,0.16692308,0.07417308
62,0.08879231,0.078480765,0.056053843,0.30910385,0.1876,0.08881923
63,0.09011154,0.07982692,0.05995769,0.3117154,0.21145386,0.10039615
64,0.08892692,0.07988077,0.05707692,0.3334423,0.20106155,0.092453845
65,0.08456538,0.07172307,0.04385769,0.3434846,0.15251923,0.064373076
66,0.08300384,0.07010769,0.03941538,0.37595385,0.14775385,0.0602
67,0.08332692,0.069515385,0.037826918,0.41698462,0.16415,0.06469615
68,0.08265384,0.06970384,0.038930766,0.40182692,0.1526,0.059446152
69,0.08305769,0.07175,0.037988458,0.40941924,0.16584615,0.06491154
70,0.08313846,0.073015384,0.03844615,0.4092577,0.16242692,0.06405
71,0.08343461,0.07347307,0.03868846,0.40231153,0.15906154,0.063430764
72,0.083380766,0.07336538,0.039469227,0.38984618,0.15647693,0.063188456
73,0.08381154,0.07374231,0.04232307,0.3589654,0.14845385,0.06232692
74,0.08389231,0.07153461,0.041999996,0.33075002,0.14207308,0.060011536
75,0.08383846,0.072799996,0.04202692,0.35113078,0.15031154,0.06410384
76,0.08389231,0.07368846,0.043049995,0.37170002,0.15028462,0.06375384
77,0.08375769,0.0721,0.040249996,0.4061077,0.16089231,0.06410384
78,0.08348846,0.07150769,0.040223073,0.40923077,0.16299231,0.06593461
79,0.083730765,0.073553845,0.04124615,0.39482692,0.16129616,0.06671538
80,0.08515769,0.075088456,0.04668461,0.36173847,0.16048846,0.07037692
81,0.08701538,0.075734615,0.052392304,0.31572694,0.1722,0.07821154
82,0.08682692,0.07603077,0.051315382,0.32240385,0.16487692,0.074549995
83,0.08410769,0.0707,0.041434612,0.37770385,0.15553461,0.06456154
84,0.083165385,0.06981154,0.038338456,0.4013423,0.16493078,0.0649923
85,0.08305769,0.06870769,0.038149998,0.4275923,0.17610385,0.06800769
86,0.083192304,0.071803845,0.03906538,0.4125423,0.16455385,0.06577308
87,0.08542692,0.08079615,0.04684615,0.3928077,0.15984231,0.0663923
88,0.08531923,0.077511534,0.047169227,0.34690386,0.14021538,0.057399996
89,0.08348846,0.06924615,0.038203843,0.4491577,0.17995384,0.06722692
90,0.083165385,0.07078077,0.03812307,0.42387694,0.17271154,0.06698461
91,0.08348846,0.07245,0.03871538,0.39951155,0.16248077,0.06491154
92,0.08324615,0.072907686,0.038823072,0.39539233,0.16008462,0.06372692
93,0.082626924,0.07325769,0.038823072,0.39345387,0.15440385,0.06116923
94,0.08321923,0.073230766,0.039361533,0.37595385,0.15198077,0.061680768
95,0.08351538,0.07320385,0.040088456,0.38176924,0.15949231,0.06431923
96,0.08268077,0.070942305,0.038823072,0.40298462,0.15787692,0.063188456
97,0.08303077,0.07121154,0.03844615,0.4109,0.15782307,0.06273077
98,0.08270769,0.07102308,0.03836538,0.40007693,0.15798461,0.061519228
99,0.08289615,0.071696155,0.03836538,0.3983808,0.16151154,0.06305385
100,0.08292308,0.071938455,0.039523073,0.40828848,0.1586577,0.06278461
101,0.08311154,0.070619226,0.040680766,0.36927694,0.14775385,0.06084615
102,0.08510385,0.074119225,0.04501538,0.36246538,0.15311153,0.0637
103,0.08286923,0.06892307,0.037423074,0.4105231,0.16404231,0.06421153
104,0.082842305,0.07091538,0.03809615,0.41281155,0.16665384,0.0651
105,0.082842305,0.06938077,0.037826918,0.42713463,0.17478462,0.06765769
106,0.083192304,0.07188461,0.038580764,0.42904615,0.16767693,0.06553077
107,0.08483461,0.075411536,0.044880766,0.37533462,0.15973462,0.06685
108,0.087230764,0.08311154,0.05096538,0.3988654,0.17115,0.07516923
109,0.085480765,0.08090384,0.049834613,0.35974616,0.15612692,0.070484616
110,0.08402692,0.07721538,0.046980765,0.34071153,0.14503461,0.062299997
111,0.08321923,0.074765384,0.04342692,0.34633848,0.13577308,0.055138458
112,0.08289615,0.06542307,0.039738458,0.34539616,0.12565,0.054680765
113,0.08313846,0.06851923,0.038230766,0.44826925,0.17817692,0.0695423
114,0.08308461,0.07067307,0.038311534,0.41784617,0.17187692,0.06703846
115,0.08308461,0.07285384,0.038392305,0.4033077,0.16336924,0.06458846
116,0.082842305,0.07403846,0.038769227,0.39894617,0.15860385,0.062623076
117,0.08311154,0.07406538,0.039980765,0.3832231,0.15634231,0.06332307
118,0.083623074,0.074119225,0.04057307,0.38400385,0.1622923,0.06628461
119,0.08367692,0.0733923,0.040249996,0.40252694,0.17026153,0.067119226
120,0.083192304,0.071696155,0.038607687,0.40185386,0.16735385,0.06687692
121,0.08278846,0.070080765,0.037799995,0.39485386,0.1622923,0.06423846
122,0.08257307,0.06981154,0.037692305,0.39453077,0.15951923,0.06321538
123,0.08270769,0.07107692,0.038069226,0.3972231,0.1575,0.062542304
124,0.08235769,0.070484616,0.037503842,0.39751923,0.15410769,0.061465383
125,0.08246538,0.069649994,0.03720769,0.4146154,0.15916923,0.06294615
126,0.082626924,0.0698923,0.037019227,0.42595002,0.16571154,0.06469615
127,0.0826,0.07067307,0.037880763,0.4155577,0.16361155,0.06458846
128,0.08289615,0.07053846,0.038473073,0.4276731,0.17203847,0.06682307
129,0.08308461,0.07172307,0.03871538,0.41671538,0.16506538,0.06448077
130,0.08402692,0.07393077,0.043480765,0.35845384,0.14969231,0.06302692
131,0.08698846,0.08074231,0.05209615,0.36881924,0.17882308,0.0784
132,0.08577692,0.078911535,0.049888458,0.3659923,0.16081154,0.06752308
133,0.084161535,0.07535769,0.047142304,0.33920386,0.15814616,0.06878846
134,0.08206154,0.07134615,0.041757688,0.32299617,0.13219231,0.058530767
135,0.08408076,0.07667692,0.046549994,0.3531231,0.15968077,0.06827692
136,0.08626153,0.07988077,0.051799998,0.33906925,0.18749231,0.08386538
137,0.082384616,0.06116923,0.039280765,0.22752693,0.10093462,0.03117692
138,0.083299994,0.06714615,0.039199997,0.34472308,0.14061923,0.053442303
139,0.083165385,0.0686,0.037369225,0.4212654,0.17171538,0.06625769
140,0.082842305,0.07021538,0.037799995,0.40780386,0.16835,0.06545
141,0.08308461,0.074092306,0.03898461,0.39474615,0.16172692,0.06445384
142,0.08397307,0.074873075,0.042134613,0.36776924,0.15093076,0.062623076
143,0.08478077,0.0747923,0.044611536,0.34488463,0.15841539,0.06803461
144,0.08575,0.07535769,0.04827307,0.34036154,0.17284615,0.077
145,0.08531923,0.0742,0.045419227,0.37463462,0.17098846,0.071803845
146,0.08381154,0.07053846,0.039873075,0.39463848,0.16765,0.06623077
147,0.082949996,0.06862692,0.03720769,0.40909615,0.16826923,0.0651
148,0.08286923,0.07024231,0.037503842,0.40858462,0.16476923,0.06418461
149,0.08297692,0.072261535,0.03879615,0.3950154,0.15720385,0.061465383
150,0.08311154,0.07121154,0.038499996,0.39404616,0.15588461,0.061680768
151,0.08332692,0.07045769,0.038203843,0.3869923,0.16156538,0.06421153
152,0.08297692,0.068330765,0.038069226,0.40906924,0.16692308,0.06547692
153,0.08297692,0.06994615,0.038392305,0.41873464,0.16622308,0.06547692
154,0.08276153,0.07045769,0.03868846,0.39302307,0.15453847,0.061761536
155,0.08451153,0.07430769,0.044557687,0.3535,0.16221154,0.069649994
156,0.08760769,0.080446154,0.053388458,0.3464731,0.19053462,0.0870423
157,0.08615384,0.080661535,0.05031923,0.36006925,0.18226923,0.080661535
158,0.08523846,0.07753846,0.047949996,0.34267694,0.16409616,0.071696155
159,0.08389231,0.07271923,0.045203842,0.31263077,0.15192692,0.064507686
160,0.08456538,0.074765384,0.046711534,0.33185387,0.1645,0.07201923
161,0.085911535,0.07729615,0.049699996,0.3246923,0.17960384,0.08009615
162,0.08658461,0.07767308,0.05155769,0.32073462,0.18727693,0.08381154
163,0.08876538,0.08157692,0.056834612,0.32975385,0.21729615,0.10125769
164,0.090596154,0.08254615,0.061734613,0.31268463,0.23358461,0.113184616
165,0.082519226,0.06418461,0.03785384,0.36262694,0.14306924,0.05815384
166,0.08235769,0.060119227,0.040142305,0.27267691,0.10607692,0.040142305
167,0.082842305,0.06442692,0.038607687,0.39305001,0.14996153,0.057265382
168,0.08289615,0.06849231,0.037557688,0.44584617,0.17882308,0.06706538
169,0.08321923,0.071399994,0.03949615,0.4065923,0.16845769,0.066796154
170,0.084269226,0.07538461,0.043211535,0.37266925,0.15356924,0.06418461
171,0.08760769,0.07778077,0.051369227,0.30021924,0.16945384,0.08090384
172,0.08986923,0.078588456,0.057480767,0.2748577,0.18493462,0.09091923
173,0.08881923,0.078696154,0.055407688,0.30703077,0.18270001,0.08604615
174,0.08604615,0.07481923,0.047923073,0.34195,0.17443462,0.077080764
175,0.08313846,0.06981154,0.03758461,0.42142692,0.17249615,0.06671538
176,0.08303077,0.069084615,0.037180766,0.43408078,0.1757,0.06838461
177,0.082842305,0.070080765,0.038849995,0.4113846,0.15733846,0.06399615
178,0.08225,0.06846538,0.037826918,0.38346538,0.15146923,0.061492305
179,0.08367692,0.06946153,0.038849995,0.39932308,0.16808078,0.066796154
180,0.08335385,0.06970384,0.037773073,0.4299077,0.17023462,0.06644615
181,0.08313846,0.07175,0.03871538,0.43171155,0.1691577,0.06663461
182,0.083703846,0.07328461,0.041649997,0.38532308,0.16412307,0.06868076
183,0.08698846,0.077942304,0.05045384,0.3483577,0.18668462,0.084
184,0.08868461,0.08184615,0.05505769,0.3655077,0.2034577,0.09264231
185,0.08636923,0.08136154,0.050534613,0.3804231,0.18186538,0.077053845
186,0.08706923,0.08133461,0.05112692,0.36766154,0.18237692,0.07996154
187,0.087096155,0.08068846,0.051369227,0.35950387,0.18719615,0.08286923
188,0.086019225,0.078049995,0.04964615,0.33823463,0.17920001,0.07971923
189,0.08480769,0.07395769,0.04800384,0.31483847,0.17123076,0.077915385
190,0.08682692,0.07834615,0.051261537,0.33244616,0.1895923,0.08642308
191,0.08857692,0.08157692,0.056053843,0.3298346,0.2111577,0.097784616
192,0.08954615,0.08233076,0.05820769,0.32918847,0.22101153,0.10454231
193,0.0903,0.08257307,0.06100769,0.32251155,0.2314577,0.111030765
194,0.09032692,0.08254615,0.062192306,0.3124154,0.23767693,0.114530765
195,0.08367692,0.06881538,0.037369225,0.4511231,0.17669615,0.06752308
196,0.08305769,0.06520769,0.038849995,0.29671922,0.11665769,0.048084613
197,0.08233076,0.06014615,0.040115383,0.1869,0.06736153,0.03004615
198,0.08286923,0.06553077,0.03809615,0.38946924,0.14433461,0.05742692
199,0.08321923,0.06932692,0.03801538,0.43033847,0.17532308,0.067792304
200,0.084,0.07341923,0.04140769,0.38634616,0.16051538,0.06477692
201,0.08855,0.07721538,0.05422307,0.3165346,0.17152692,0.07931538
202,0.09207692,0.07974615,0.063188456,0.27501923,0.19565,0.097784616
203,0.09129615,0.079799995,0.062192306,0.2773077,0.20146538,0.101311535
204,0.08857692,0.07866923,0.05543461,0.31868848,0.18105769,0.08561538
205,0.08381154,0.07231538,0.041057687,0.4005077,0.16686924,0.067765385
206,0.083165385,0.06913846,0.03763846,0.43222308,0.17432693,0.0663923
207,0.08343461,0.07067307,0.037880763,0.43951923,0.17378846,0.06577308
208,0.083192304,0.06946153,0.03774615,0.41825002,0.16853847,0.065046154
209,0.083380766,0.06948846,0.038580764,0.41959617,0.1687,0.066903844
210,0.08308461,0.069649994,0.037557688,0.43437693,0.17120385,0.06674231
211,0.08356923,0.07371538,0.041703843,0.39146155,0.16213077,0.06590769
212,0.0866923,0.07764615,0.049565382,0.36173847,0.17949615,0.07877692
213,0.089492306,0.08015,0.057103842,0.32660386,0.2108077,0.09905
214,0.08957308,0.08332692,0.058907688,0.35654232,0.21823846,0.101176925
215,0.08814615,0.0870423,0.05357692,0.39625385,0.19142307,0.08429615
216,0.088065386,0.08367692,0.052903842,0.38257694,0.18439615,0.08015
217,0.08828077,0.083623074,0.053711534,0.36273462,0.19443846,0.08768846
218,0.08698846,0.07931538,0.051207688,0.35533077,0.19045384,0.08653077
219,0.08663846,0.07780769,0.050723072,0.33110002,0.18183847,0.082519226
220,0.08801153,0.079665385,0.053496152,0.33223078,0.20588078,0.093853846
221,0.08865769,0.08114615,0.05613461,0.3294308,0.21242309,0.10045
222,0.08978846,0.08292308,0.057749998,0.3334423,0.21743077,0.10133846
223,0.090596154,0.08332692,0.061223075,0.3257423,0.2307577,0.10938846
224,0.09086538,0.08278846,0.06073846,0.32216156,0.23086539,0.11022308
225,0.083596155,0.06717307,0.037773073,0.45456925,0.17971154,0.06736153
226,0.08313846,0.06738846,0.03774615,0.4497231,0.17879616,0.06617692
227,0.082519226,0.061599996,0.03895769,0.20238078,0.08706923,0.03179615
228,0.08214231,0.061088458,0.038769227,0.24088077,0.09528077,0.03642692
229,0.08286923,0.06730769,0.03720769,0.44471538,0.17416538,0.06631154
230,0.083165385,0.07099615,0.038742304,0.4211577,0.16923846,0.06507307
231,0.08696154,0.07729615,0.049699996,0.35753846,0.16425769,0.071938455
232,0.09148461,0.08114615,0.060899995,0.29136154,0.18757308,0.092346154
233,0.090811536,0.079665385,0.060873073,0.28263846,0.19419615,0.09700385
234,0.0889,0.07893846,0.056511536,0.3105577,0.17176923,0.081011534
235,0.08335385,0.06862692,0.038742304,0.4016654,0.16813461,0.0663923
